CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
130	923	6	0.8949	-2.014
401	405	6	0.9317	-28.033
318	831	6	0.8085	26.017
266	401	6	0.9158	-21.985
424	483	6	0.905	-28.031
413	979	6	0.8523	6.900
392	706	6	0.8647	-4.036
191	266	6	0.9601	-0.000
163	322	6	0.9384	26.015
130	392	6	0.8829	18.014
166	424	6	0.9324	56.063
413	514	6	0.8659	52.032
163	266	6	0.9491	67.987
192	394	6	0.9117	-56.063
196	817	6	0.9348	12.000
732	740	6	0.853	-26.016
151	266	6	0.9152	-6.047
196	649	6	0.9161	23.090
305	404	6	0.9562	-56.062
196	702	6	0.913	-112.126
192	465	6	0.9359	2.016
134	315	6	0.9757	0.001
450	809	6	0.8944	-42.047
166	319	6	0.8908	-26.015
392	923	6	0.8928	-20.028
343	450	6	0.9475	40.031
704	783	6	0.8315	26.015
151	401	6	0.912	-28.031
134	405	6	0.9057	-24.002
196	465	6	0.9303	28.031
166	465	6	0.9241	30.047
151	702	6	0.8875	-33.132
483	817	6	0.8942	-14.016
166	343	6	0.9529	2.016
52	134	6	0.8873	-54.046
450	465	6	0.9569	-12.000
450	483	6	0.9071	-14.016
272	740	6	0.9485	-67.986
424	465	6	0.9342	-26.016
52	151	6	0.9263	-21.984
52	315	6	0.9002	-54.046
810	979	6	0.8632	14.016
134	266	6	0.9302	26.016
166	394	6	0.9363	-28.031
318	801	6	0.8584	0.002
649	817	6	0.8739	-11.090
151	155	6	0.915	-26.017
322	732	6	0.871	-23.999
266	315	6	0.9328	-26.015
155	401	6	0.9186	-2.015
52	155	6	0.9221	-48.001
155	272	6	0.9278	-4.032
134	397	6	0.8989	80.063
151	757	6	0.9427	-2.017
514	783	6	0.8758	-26.017
372	837	6	0.7892	-26.014
231	272	6	0.953	-28.032
192	817	6	0.9183	-14.016
151	829	6	0.8852	-32.061
318	712	6	0.8542	-76.028
231	315	6	0.9158	-30.045
343	424	6	0.934	54.047
72	134	6	0.9339	-2.014
134	155	6	0.9121	6.046
166	649	6	0.8969	25.106
315	405	6	0.9119	-24.003
783	810	6	0.8418	-33.132
