CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
115	443	33	0.9432	157.763
53	115	33	0.953	-159.875
46	286	33	0.9368	121.995
35	36	33	0.9716	-185.958
74	1541	33	0.9648	152.949
99	328	33	0.9294	-157.124
68	1421	33	0.8287	23.016
233	1541	33	0.944	0.000
36	133	33	0.7589	-0.002
286	299	33	0.8829	-122.126
443	823	33	0.9562	157.142
133	1052	33	0.7639	185.750
53	299	33	0.8939	-160.064
286	781	33	0.8828	193.958
53	286	33	0.9146	-37.938
86	1052	33	0.8134	-168.189
68	1541	33	0.9929	0.000
64	74	33	0.8632	-192.967
105	299	33	0.9968	-0.128
115	286	33	0.9391	121.937
115	781	33	0.9453	315.895
68	86	33	0.8237	-4.979
86	1421	33	0.7702	27.995
46	105	33	0.9505	-0.003
137	328	33	0.9708	-0.154
167	1052	33	0.9333	-186.198
74	286	33	0.9707	0.000
46	115	33	0.9963	0.058
68	286	33	0.9462	-152.949
64	105	33	0.9606	-314.965
46	443	33	0.9437	157.820
286	1541	33	0.9425	152.949
36	1407	33	0.9678	185.999
86	1541	33	0.818	4.979
35	167	33	0.9938	185.988
46	299	33	0.9472	-0.131
74	105	33	0.8623	-121.998
233	286	33	0.8969	-152.948
36	86	33	0.8481	353.937
53	74	33	0.9148	-37.938
68	74	33	0.9719	-152.949
105	823	33	0.9575	314.966
1052	1407	33	0.9266	0.250
36	1052	33	0.9474	185.748
46	74	33	0.9437	121.995
99	137	33	0.9251	-156.970
46	781	33	0.9451	315.953
64	781	33	0.9608	0.991
299	781	33	0.9952	316.084
86	167	33	0.89	18.009
105	115	33	0.9508	0.061
35	1407	33	0.9911	0.041
36	167	33	0.9713	371.946
46	53	33	0.9499	159.933
74	115	33	0.9461	-121.937
299	823	33	0.9577	315.094
105	443	33	0.9957	157.824
68	233	33	0.9407	-0.000
299	443	33	0.9959	157.952
74	299	33	0.8584	-122.126
35	86	33	0.8868	167.979
53	68	33	0.8598	115.011
115	299	33	0.9472	-0.189
53	443	33	0.8913	-2.113
781	823	33	0.9593	-0.990
115	823	33	0.9313	314.905
