CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1123	1455	16	0.7445	451.503
502	790	16	0.8393	42.520
891	1327	16	0.734	32.011
688	1024	16	0.7967	377.400
579	1137	16	0.8053	18.151
648	929	16	0.8304	-8.744
648	1364	16	0.7991	-8.492
936	1123	16	0.9092	-39.391
648	1145	16	0.9163	440.417
929	1304	16	0.8823	-393.564
502	1455	16	0.7642	23.514
1294	1311	16	0.8117	116.811
688	1409	16	0.8922	-209.889
1294	1505	16	0.7876	-296.443
733	1123	16	0.7237	-109.239
532	1134	16	0.8937	-427.504
648	1327	16	0.7443	17.761
579	879	16	0.8708	273.327
1057	1294	16	0.8318	463.215
1057	1137	16	0.793	207.928
1304	1455	16	0.9028	-308.379
1123	1134	16	0.9056	0.374
648	663	16	0.9185	-0.250
1145	1505	16	0.7733	480.193
790	1455	16	0.8975	-19.006
936	1455	16	0.7606	412.113
929	1364	16	0.8964	0.252
532	936	16	0.8958	-388.487
1145	1327	16	0.7777	-422.656
879	1137	16	0.7545	-255.176
1304	1364	16	0.8382	393.816
879	1077	16	0.7452	-255.033
663	1327	16	0.7197	18.011
688	1294	16	0.8491	273.295
579	1409	16	0.8854	-209.746
1058	1077	16	0.8754	206.754
502	1134	16	0.9185	-427.615
502	733	16	0.8344	-318.750
936	1134	16	0.9367	-39.017
891	1145	16	0.9258	454.668
502	1304	16	0.7868	331.893
790	1134	16	0.7813	-470.135
1057	1077	16	0.7502	208.071
1311	1492	16	0.7202	-33.013
532	1349	16	0.9035	-322.409
1167	1327	16	0.7635	-39.845
579	874	16	0.7809	18.438
1123	1349	16	0.9037	105.468
929	1145	16	0.849	449.161
790	1304	16	0.9122	289.373
1294	1409	16	0.8285	-483.184
532	1123	16	0.8987	-427.878
733	936	16	0.7893	-69.849
1137	1294	16	0.7284	255.287
1137	1311	16	0.8171	372.098
688	879	16	0.8783	273.183
879	1505	16	0.8033	-296.331
879	1409	16	0.8437	-483.073
1333	1364	16	0.7854	-217.270
879	1311	16	0.8158	116.922
874	1311	16	0.8157	371.811
688	1137	16	0.8166	18.008
1339	1505	16	0.7107	-191.633
733	1134	16	0.7677	-108.866
1145	1333	16	0.8603	-231.639
929	1333	16	0.7978	217.522
891	1364	16	0.8023	5.758
790	1349	16	0.7898	-365.041
1134	1349	16	0.9044	105.095
1137	1409	16	0.7264	-227.897
1024	1041	16	0.7158	-269.110
1327	1364	16	0.847	-26.253
532	1455	16	0.7804	23.625
874	1409	16	0.7159	-228.184
790	936	16	0.8041	-431.118
663	891	16	0.9282	-14.000
579	688	16	0.9653	0.143
891	1333	16	0.851	223.029
1077	1409	16	0.7126	-228.040
733	1455	16	0.8731	342.264
1077	1294	16	0.7264	255.144
648	891	16	0.9393	-14.250
502	1123	16	0.8665	-427.989
663	1364	16	0.7793	-8.242
609	1304	16	0.8785	-434.115
609	1327	16	0.893	-14.046
1304	1327	16	0.8864	420.069
1177	1455	16	0.7479	305.073
1145	1364	16	0.814	-448.909
733	1349	16	0.761	-3.771
663	1333	16	0.8144	209.028
648	1333	16	0.8493	208.778
579	1294	16	0.8411	273.438
648	1304	16	0.7598	-402.308
874	1137	16	0.9649	-0.287
936	1349	16	0.9105	66.078
874	1057	16	0.7672	-208.215
579	1505	16	0.8009	-23.005
1077	1137	16	0.9582	-0.143
1024	1339	16	0.7008	-208.915
874	1058	16	0.8634	-206.897
879	1294	16	0.9267	0.111
609	929	16	0.8691	-40.551
688	1057	16	0.9568	-189.920
1024	1505	16	0.7713	-400.548
430	1205	17	0.8547	0.005
536	712	17	0.7243	43.025
569	1361	17	0.9338	0.000
373	430	17	0.7834	-2.014
430	750	17	0.7771	-41.014
373	999	17	0.704	2.016
358	373	17	0.7026	-24.000
373	1205	17	0.7176	-2.009
536	1420	17	0.7982	-0.016
373	1361	17	0.7323	-24.000
750	1231	17	0.7601	-0.951
358	430	17	0.7572	-26.014
373	712	17	0.7139	26.016
371	536	17	0.7701	-0.010
638	1420	17	0.8129	28.032
430	1231	17	0.8148	-41.965
1205	1231	17	0.7324	-41.970
536	750	17	0.7296	-26.018
371	1420	17	0.9542	-0.026
373	1105	17	0.7637	-41.985
659	712	17	0.7041	52.031
373	569	17	0.7338	-24.000
358	1420	17	0.8016	-41.026
358	1205	17	0.7035	-26.009
358	371	17	0.8159	-41.000
995	1281	18	0.9127	-330.201
1378	1564	19	0.797	-168.126
419	1566	19	0.9577	252.158
1378	1582	19	0.8434	-336.252
199	1566	19	0.9738	251.925
199	419	19	0.9803	-0.233
1378	1566	19	0.7396	42.047
415	417	20	0.9894	-48.028
832	1389	20	0.9635	51.031
415	1193	20	0.9767	-47.889
324	1389	20	0.9546	151.915
240	842	20	0.9618	109.991
335	1193	20	0.9515	-83.996
836	842	20	0.976	54.994
415	675	20	0.9614	-16.038
240	417	20	0.9878	-108.086
324	1193	20	0.9654	12.970
324	415	20	0.9693	60.859
417	836	20	0.9656	163.083
422	1389	20	0.9536	137.138
1193	1389	20	0.964	138.945
335	836	20	0.9437	78.948
422	1193	20	0.9545	-1.807
335	832	20	0.9642	3.918
842	1193	20	0.9626	-217.938
240	422	20	0.9744	-106.140
458	675	20	0.9569	-0.026
335	458	20	0.9562	-52.119
240	832	20	0.9812	-20.033
415	422	20	0.9757	-46.082
240	1193	20	0.9764	-107.947
422	458	20	0.9539	30.070
335	675	20	0.9623	-52.145
324	422	20	0.9499	14.777
240	324	20	0.9676	-120.917
240	1389	20	0.9688	30.998
335	417	20	0.9669	-84.135
417	422	20	0.9809	1.946
335	415	20	0.9661	-36.107
324	842	20	0.9525	230.908
415	836	20	0.9675	115.055
836	1193	20	0.9684	-162.944
832	836	20	0.9666	75.030
842	1389	20	0.9639	-78.993
422	675	20	0.9675	30.044
417	675	20	0.9637	31.990
240	836	20	0.9741	54.997
422	832	20	0.9687	86.107
415	1389	20	0.969	91.056
324	836	20	0.9591	175.914
415	832	20	0.9821	40.025
417	1389	20	0.9692	139.083
240	415	20	0.9877	-60.058
324	417	20	0.9703	12.831
240	335	20	0.9628	-23.951
417	1193	20	0.9746	0.139
836	1389	20	0.973	-23.999
335	422	20	0.9663	-82.189
832	842	20	0.9607	130.024
417	832	20	0.9815	88.053
335	1389	20	0.9499	54.949
832	1193	20	0.9736	-87.914
324	832	20	0.9651	100.884
643	1004	23	0.7772	-72.058
297	1325	23	0.7963	2.016
643	1371	23	0.899	-56.063
1004	1291	23	0.7924	-487.389
1004	1326	23	0.8263	18.018
590	1326	23	0.7713	-26.009
1291	1320	23	0.7769	264.243
1099	1325	23	0.8838	0.000
590	1004	23	0.784	-44.027
297	1326	23	0.7708	2.023
643	1326	23	0.7986	-54.040
462	1370	23	0.8789	327.317
1325	1326	23	0.8774	0.007
297	1004	23	0.7631	-15.995
590	1099	23	0.7498	-26.016
1099	1371	23	0.7697	-2.016
590	643	23	0.9701	28.031
1370	1371	23	0.8527	45.988
1110	1325	23	0.8078	21.954
643	1264	23	0.7779	66.082
643	1099	23	0.7885	-54.047
482	513	23	0.8251	12.072
297	590	23	0.9059	28.032
590	1325	23	0.8219	-26.016
513	1085	23	0.8181	-12.072
544	1087	23	0.7567	30.056
1004	1325	23	0.8253	18.011
297	1370	23	0.8609	-45.988
544	1110	23	0.7692	-28.025
1291	1453	23	0.7467	311.284
482	1085	23	0.9495	-0.000
1099	1110	23	0.7656	-21.954
392	482	23	0.7467	-100.129
643	1325	23	0.8393	-54.047
1004	1371	23	0.7697	15.995
1004	1099	23	0.8238	18.011
297	1099	23	0.7707	2.015
1087	1243	23	0.8522	-2.016
544	1243	23	0.8536	28.041
1099	1326	23	0.925	0.008
297	1371	23	0.9269	-0.000
297	643	23	0.8978	56.063
1266	1453	23	0.8656	28.032
255	1264	23	0.7976	12.000
590	1371	23	0.9109	-28.032
462	1371	23	0.9047	373.305
1264	1371	23	0.7474	-122.145
1085	1320	23	0.7467	-208.131
1326	1371	23	0.7736	-2.023
1325	1371	23	0.7949	-2.016
297	462	23	0.9142	-373.305
590	1264	23	0.7693	94.113
911	960	24	0.7283	0.000
194	1245	25	0.7618	-28.027
191	768	25	0.7216	0.042
191	194	25	0.8892	-18.014
950	1245	25	0.7254	-42.046
976	1309	25	0.8844	-243.183
950	1253	25	0.779	-404.303
191	681	25	0.8427	-18.015
194	976	25	0.725	-243.179
194	950	25	0.9122	14.020
681	950	25	0.9244	14.021
194	681	25	0.9667	-0.001
681	1245	25	0.7649	-28.026
277	428	26	0.789	-89.776
277	479	26	0.713	250.283
144	1503	26	0.945	0.010
302	477	26	0.7631	-115.917
428	736	26	0.7949	247.801
397	428	26	0.8219	413.650
163	277	26	0.7368	359.926
154	736	26	0.7418	292.008
302	479	26	0.7799	104.199
397	1503	26	0.8265	-60.463
277	477	26	0.7003	30.167
277	736	26	0.7095	158.025
163	676	26	0.9088	-173.812
144	676	26	0.7852	30.160
122	397	26	0.9129	-347.462
428	676	26	0.828	-443.962
163	397	26	0.8874	-143.500
428	479	26	0.7481	340.059
397	676	26	0.8303	-30.312
163	477	26	0.8545	390.092
477	736	26	0.8614	127.858
