CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
725	769	9	0.8695	-29.974
96	367	9	0.793	-98.109
26	40	9	0.8864	-28.031
66	71	9	0.7994	-14.016
504	823	9	0.7681	-63.994
232	353	9	0.8504	-32.026
36	72	9	0.8199	13.020
18	467	9	0.9138	-113.084
53	81	9	0.7583	-23.016
494	594	9	0.8067	-14.016
270	700	9	0.7726	11.012
81	764	9	0.8685	-204.090
802	803	9	0.7443	-50.061
124	494	9	0.7724	-19.994
472	545	10	0.9786	-26.016
472	796	10	0.9729	-28.031
452	545	10	0.8895	-28.031
545	796	10	0.9803	-2.016
452	472	10	0.8987	-2.016
695	916	11	0.8789	-28.031
389	916	11	0.8485	-53.136
475	1065	11	0.9698	2.016
475	606	11	0.8666	-110.110
475	916	11	0.908	0.000
389	475	11	0.8477	-53.136
695	1065	11	0.8883	-26.016
389	695	11	0.818	-25.104
723	756	11	0.8899	28.031
514	723	11	0.9153	-23.089
606	723	11	0.9001	112.126
723	1065	11	0.9695	0.000
475	514	11	0.9035	25.105
695	723	11	0.8783	-26.016
475	723	11	0.9661	2.016
514	1065	11	0.9137	-23.089
514	916	11	0.8604	-25.105
389	514	11	0.8901	-28.031
606	1065	11	0.8816	112.126
389	756	11	0.8329	-23.089
916	1065	11	0.9057	2.016
723	916	11	0.8968	-2.016
475	695	11	0.8897	28.032
389	1065	11	0.8686	-51.120
389	723	11	0.8661	-51.120
756	1065	11	0.8981	-28.031
475	756	11	0.8935	30.047
756	916	11	0.8797	-30.047
695	756	11	0.8644	2.015
514	606	11	0.8819	-135.215
805	873	12	0.8445	-35.964
661	762	12	0.9183	12.000
246	762	12	0.9076	42.047
133	805	12	0.8599	13.979
667	873	12	0.8888	-50.015
661	873	12	0.9622	-24.000
661	674	12	0.9124	-74.016
437	701	12	0.9245	-26.014
133	873	12	0.9701	-21.984
667	805	12	0.7763	-14.052
272	783	12	0.9173	9.985
578	682	12	0.9391	4.032
674	790	12	0.8137	87.996
437	682	12	0.9433	-23.998
762	805	12	0.8081	-0.036
667	790	12	0.7857	-12.036
762	790	12	0.8121	1.980
674	805	12	0.8179	85.980
319	578	12	0.7372	-67.940
272	790	12	0.8359	39.996
682	701	12	0.9246	-2.016
578	701	12	0.9207	2.016
133	783	12	0.976	-14.015
246	667	12	0.9043	56.063
133	272	12	0.9126	-24.000
783	805	12	0.862	27.995
790	805	12	0.8072	-2.016
246	661	12	0.9673	30.047
246	272	12	0.9157	4.031
783	873	12	0.9543	-7.969
272	661	12	0.928	26.015
246	873	12	0.9577	6.047
246	578	12	0.9191	-67.987
661	790	12	0.8415	13.980
661	783	12	0.9704	-16.031
133	246	12	0.9936	-28.031
246	805	12	0.8593	42.011
246	783	12	0.9738	14.016
133	762	12	0.9049	14.015
667	783	12	0.8994	-42.046
272	674	12	0.8885	-48.000
272	682	12	0.8892	-67.986
133	661	12	0.9724	2.015
762	783	12	0.9102	-28.031
661	667	12	0.9113	26.016
674	783	12	0.9022	57.985
762	873	12	0.8917	-36.000
437	578	12	0.945	-28.030
674	873	12	0.9289	50.016
661	805	12	0.8606	11.964
783	790	12	0.8383	30.011
790	873	12	0.8246	-37.980
133	674	12	0.9077	-72.000
133	667	12	0.9035	28.031
133	437	12	0.9302	-67.988
667	674	12	0.8509	-100.032
667	762	12	0.8735	-14.016
272	762	12	0.9066	38.015
272	667	12	0.8829	52.031
674	762	12	0.8735	86.016
246	674	12	0.9087	-43.969
272	873	12	0.9051	2.016
681	755	13	0.8931	2.001
681	709	13	0.7627	-0.007
681	842	13	0.9033	1.015
691	755	13	0.8931	-0.014
735	842	13	0.8041	0.018
755	834	13	0.7559	0.017
691	842	13	0.9018	-1.000
735	834	13	0.7704	1.021
709	755	13	0.8187	2.008
709	842	13	0.7433	1.021
681	735	13	0.8799	0.997
681	691	13	0.9164	2.015
681	834	13	0.8184	2.018
709	735	13	0.8487	1.004
735	755	13	0.9546	1.004
691	735	13	0.8897	-1.018
834	842	13	0.9143	-1.003
691	709	13	0.7075	-2.021
755	842	13	0.7989	-0.986
691	834	13	0.8552	0.003
408	964	14	0.9121	-19.970
409	911	14	0.9755	0.000
369	911	14	0.942	-54.045
340	414	14	0.9278	0.000
741	797	14	0.9384	-0.001
409	414	14	0.9134	52.028
